Level,Area_km2,Volume_million_m3
-240.74,55.695639,381.04396
-240.75,55.65356,380.46631
-240.76,55.61147,379.88908
-240.77,55.569368,379.31226
-240.78,55.527254,378.73587
-240.79,55.485126,378.15989
-240.8,55.442985,377.58433
-240.81,55.40083,377.00919
-240.82,55.35866,376.43446
-240.83,55.316474,375.86015
-240.84,55.274273,375.28626
-240.85,55.232054,374.71278
-240.86,55.189818,374.13971
-240.87,55.147564,373.56706
-240.88,55.105292,372.99482
-240.89,55.063,372.423
-240.9,55.020689,371.85159
-240.91,54.978358,371.28059
-240.92,54.936008,370.71001
-240.93,54.89364,370.13984
-240.94,54.851255,369.57008
-240.95,54.808852,369.00074
-240.96,54.766433,368.43181
-240.97,54.723998,367.8633
-240.98,54.681547,367.2952
-240.99,54.639081,366.72752
-241,54.596601,366.16025
-241.01,54.554107,365.59339
-241.02,54.5116,365.02695
-241.03,54.46908,364.46093
-241.04,54.426548,363.89533
-241.05,54.384004,363.33013
-241.06,54.34145,362.76536
-241.07,54.298884,362.201
-241.08,54.256309,361.63706
-241.09,54.213724,361.07354
-241.1,54.17113,360.51043
-241.11,54.128528,359.94774
-241.12,54.085918,359.38546
-241.13,54.043301,358.82361
-241.14,54.000678,358.26217
-241.15,53.958048,357.70115
-241.16,53.915412,357.14055
-241.17,53.872771,356.58037
-241.18,53.830126,356.0206
-241.19,53.787477,355.46126
-241.2,53.744825,354.90233
-241.21,53.70217,354.34383
-241.22,53.659512,353.78574
-241.23,53.616853,353.22807
-241.24,53.574192,352.67082
-241.25,53.531531,352.114
-241.26,53.48887,351.55759
-241.27,53.446209,351.0016
-241.28,53.403549,350.44604
-241.29,53.360891,349.89089
-241.3,53.318235,349.33617
-241.31,53.275581,348.78186
-241.32,53.232931,348.22798
-241.33,53.190284,347.67452
-241.34,53.147642,347.12148
-241.35,53.105004,346.56887
-241.36,53.062372,346.01667
-241.37,53.019746,345.4649
-241.38,52.977126,344.91355
-241.39,52.934514,344.36263
-241.4,52.891909,343.81213
-241.41,52.849312,343.26205
-241.42,52.806724,342.71239
-241.43,52.764145,342.16316
-241.44,52.721575,341.61435
-241.45,52.679017,341.06597
-241.46,52.636469,340.51801
-241.47,52.593932,339.97047
-241.48,52.551408,339.42336
-241.49,52.508896,338.87668
-241.5,52.466397,338.33042
-241.51,52.423911,337.78458
-241.52,52.38144,337.23917
-241.53,52.338984,336.69419
